"Figure 2. Temperatures Worldwide, 1901-2020",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2021",,,
Web update: April 2021,,,
Units: °F,,,
,,,
Year,Earth's surface (land and ocean),Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.27,null,null
1902,-0.45,null,null
1903,-0.666,null,null
1904,-0.828,null,null
1905,-0.504,null,null
1906,-0.36,null,null
1907,-0.684,null,null
1908,-0.774,null,null
1909,-0.792,null,null
1910,-0.72,null,null
1911,-0.792,null,null
1912,-0.612,null,null
1913,-0.576,null,null
1914,-0.252,null,null
1915,-0.162,null,null
1916,-0.576,null,null
1917,-0.702,null,null
1918,-0.54,null,null
1919,-0.432,null,null
1920,-0.414,null,null
1921,-0.288,null,null
1922,-0.432,null,null
1923,-0.45,null,null
1924,-0.432,null,null
1925,-0.324,null,null
1926,-0.126,null,null
1927,-0.306,null,null
1928,-0.324,null,null
1929,-0.576,null,null
1930,-0.198,null,null
1931,-0.108,null,null
1932,-0.234,null,null
1933,-0.468,null,null
1934,-0.198,null,null
1935,-0.288,null,null
1936,-0.216,null,null
1937,-0.018,null,null
1938,-0.036,null,null
1939,0.018,null,null
1940,0.288,null,null
1941,0.486,null,null
1942,0.198,null,null
1943,0.198,null,null
1944,0.504,null,null
1945,0.324,null,null
1946,-0.018,null,null
1947,-0.072,null,null
1948,-0.09,null,null
1949,-0.144,null,null
1950,-0.27,null,null
1951,0,null,null
1952,0.072,null,null
1953,0.234,null,null
1954,-0.18,null,null
1955,-0.234,null,null
1956,-0.324,null,null
1957,0.126,null,null
1958,0.216,null,null
1959,0.144,null,null
1960,0.09,null,null
1961,0.162,null,null
1962,0.18,null,null
1963,0.216,null,null
1964,-0.252,null,null
1965,-0.126,null,null
1966,-0.018,null,null
1967,0,null,null
1968,-0.054,null,null
1969,0.198,null,null
1970,0.108,null,null
1971,-0.126,null,null
1972,0.054,null,null
1973,0.342,null,null
1974,-0.108,null,null
1975,0.018,null,null
1976,-0.126,null,null
1977,0.378,null,null
1978,0.216,null,null
1979,0.414,0.459,0.294264286
1980,0.504,0.7605,0.558264286
1981,0.576,0.636,0.533664286
1982,0.342,0.3045,0.186714286
1983,0.648,0.762,0.584064286
1984,0.306,0.4095,0.130164286
1985,0.288,0.186,0.036564286
1986,0.414,0.4425,0.238164286
1987,0.684,0.9255,0.749964286
1988,0.702,0.9075,0.694314286
1989,0.522,0.4605,0.344064286
1990,0.81,0.858,0.647214286
1991,0.702,0.8715,0.728064286
1992,0.432,0.3315,0.258114286
1993,0.504,0.471,0.366564286
1994,0.612,0.7215,0.602064286
1995,0.846,0.963,0.844914286
1996,0.576,0.8235,0.671814286
1997,0.918,0.825,0.731964286
1998,1.17,1.704,1.538214286
1999,0.792,0.8085,0.734364286
2000,0.756,0.798,0.723264286
2001,1.026,1.044,1.012314286
2002,1.116,1.2255,1.207614286
2003,1.152,1.173,1.235814286
2004,1.044,0.9825,1.114464286
2005,1.206,1.1955,1.346364286
2006,1.152,1.0395,1.195914286
2007,1.116,1.122,1.260864286
2008,0.972,0.654,0.901764286
2009,1.152,1.002,1.192464286
2010,1.296,1.428,1.618764286
2011,1.044,0.864,1.053264286
2012,1.152,0.933,1.154214286
2013,1.224,1.0785,1.277964286
2014,1.332,1.1595,1.372314286
2015,1.674,1.326,1.591014286
2016,1.8,1.782,1.926864286
2017,1.638,1.557,1.709214286
2018,1.494,1.2405,1.465164286
2019,1.71,1.6245,1.819464286
2020,1.764,1.722,1.929414286
